SITE NAME,COUNTRY,LATITUDE,LONGITUDE,MODIS SITE ID,FLUXNET ID,FLUXNET KEY ID
Sammaltunturi (Pallas) GAW site,Finland,67.97333,24.11611,fn_fisammal,N/A,N/A
Sodankyla  2,Finland,67.37005,26.65,fn_fisodan2,N/A,N/A
Aurade,France,43.54944,1.10778,fn_fraurade,FR-Aur,fr.aurade.01
Avignon,France,43.91639,4.87917,fn_fravigno,FR-Avi,fr.avignon.01
Bilos  (after 6/20/2004),France,44.49389,-0.95594,fn_frbilos0,FR-Bil,fr.bilos.01
Carpentras,France,44.0834,5.0593,fn_frcarpen,N/A,N/A
Couhins,France,44.75556,-0.55556,fn_frcouhin,FR-Cou,fr.couhins.01
Creteil,France,48.7885,2.44278,fn_frcretei,N/A,N/A
Fontainebleau 2,France,48.40667,2.6805,fn_frfonta2,N/A,N/A
Fontainebleau,France,48.47634,2.78015,fn_frfontai,FR-Fon,fr.fontainebleau.01
Grignon  (after 6/5/2005),France,48.84404,1.95243,fn_frgrigno,FR-Gri,fr.grignon.01
Lamasquere,France,43.49333,1.23722,fn_frlamasq,FR-Lam,fr.lamasquere.01
Laqueuille,France,45.64414,2.73703,fn_frlaqueu,FR-Lq1,fr.laqueuille.01
Larzac,France,43.95,3.12,fn_frlarzac,N/A,N/A
Le Larzac (VALERI),France,43.93751,3.12295,fn_frlelarz,N/A,N/A
Les Alpilles 2 (VALERI),France,43.80732,4.74259,fn_frlesal2,N/A,N/A
Les Alpilles 1 (VALERI),France,43.81035,4.71461,fn_frlesalp,N/A,N/A
Lille,France,50.61167,3.14167,fn_frlill10,N/A,N/A
Yakutsk,Russia,61.66194,129.36667,fn_ruyakuts,N/A,N/A
Zotino,Russia,60.8008,89.35081,fn_ruzotino,RU-Zo2,ru.zotino.01
Solar_Village,Saudi Arabia,24.91,46.41,fn_sasolarv,N/A,N/A
Demokeya,Sudan,13.2829,30.4783,fn_sddemoke,SD-Dem,sd.demokeya.01
Asa,Sweden,57.16667,14.8,fn_seasa01,SE-Asa,se.asa.01
Asa Nybygget,Sweden,57.1495,14.73866,fn_seasany,SE-As2,se.asa_nybygget.01
Degero Stormyr (NECC),Sweden,64.18333,19.55,fn_sedegero,SE-Deg,se.degero.01
Knottasen,Sweden,60.98333,16.21667,fn_seknotta,SE-Kno,se.knottasen.01
Norunda 2,Sweden,60.08,17.48,fn_senorun2,N/A,se.norunda.02
Skyttorp,Sweden,60.11667,17.83333,fn_seskytt1,SE-Sk2,se.skyttorp.01
Skyttorp1 young,Sweden,60.125,17.91806,fn_seskytt2,SE-Sk1,se.skyttorp_yng.01
Stordalen Grassland (Mire),Sweden,68.36667,19.05,fn_sestorda,SE-St2,se.stordalen.01
Polana 2,Slovak Republic,48.63333,19.46667,fn_skpolana,SK-Pol,sk.polana.01
Dakar,Senegal,14.39417,-16.95861,fn_sndakar1,N/A,N/A
COMPLET 137  (16.9194 N 23.1815 E),Chad,16.9194,23.1815,fn_tdcomple,N/A,N/A
Maeklong- Kanchanabri,Thailand,14.575,98.85833,fn_thmaeklo,TH-Mae,th.maeklong.01
North_East_Thailand,Thailand,14.466,102.379,fn_thnorthe,N/A,N/A
Chao_Phraya_riverKogma,Thailand,18.81,98.9,fn_thriverk,N/A,N/A
Chao_Phraya_riverLampang,Thailand,18.4,99.47,fn_thriverl,N/A,N/A
Chao_Phraya_riverPhitsanulok,Thailand,16.85,100.48,fn_thriverp,N/A,N/A
Chao_Phraya_riverS,Thailand,17.83,99.69,fn_thrivers,N/A,N/A
Sakaerat- Nakonrachasima,Thailand,14.49333,101.92194,fn_thsakaer,TH-Sak,th.sakaeret.01
COMPLET 152  (37.6048 N 37.3347 E),Turkey,37.6048,37.3347,fn_trcom152,N/A,N/A
Chiayi Rice Paddy Station (TWCIR),Taiwan,23.49105,120.40728,fn_twchiari,N/A,N/A
Chiayi Meteorology Station (TWCIM),Taiwan,23.49778,120.42444,fn_twchiayi,N/A,N/A
Chilan (TWCL),Taiwan,24.59094,121.49897,fn_twchilan,TW-Chn,tw.chilan.01
Chiayi Urban Station (TWCIU),Taiwan,23.47324,120.45014,fn_twchiurb,N/A,N/A
Huisun Forest Station (TWHS),Taiwan,24.0425,121.07333,fn_twhuisun,TW-Hui,tw.huisun.01
NCHU (TWNCHU),Taiwan,24.12056,120.67806,fn_twnchu,TW-Nch,tw.nchu.01
NCU (TWNCU),Taiwan,24.96769,121.18525,fn_twncu,N/A,N/A
Taibao (TWTB),Taiwan,23.49954,120.48501,fn_twtaibao,N/A,N/A
Taipei_CWB,Taiwan,25.03,121.5,fn_twtaipei,N/A,N/A
TARI (TWTARI),Taiwan,24.03122,120.68839,fn_twtari,TW-Tar,tw.tari.01
COMPLET 124  (-6.3065 S 36.246 E),Tanzania,-6.3065,36.246,fn_tzcomple,N/A,N/A
COMPLET 160  (50.6694 N 27.8992 E),Ukraine,50.6694,27.8992,fn_uacomple,N/A,N/A
Aspen4 (49.9833 N -96.8333 W),Canada,49.9833,-96.8333,fn_caaspen4,N/A,N/A
Aspen5 (53.9017 N -111.168 W),Canada,53.9017,-111.168,fn_caaspen5,N/A,N/A
Aspen6 (54.7333 N -113.103 W),Canada,54.7333,-113.103,fn_caaspen6,N/A,N/A
Aspen7 (60.5167 N -134.267 W),Canada,60.5167,-134.267,fn_caaspen7,N/A,N/A
Aspen8 (60.8234 N -115.78 W),Canada,60.8234,-115.78,fn_caaspen8,N/A,N/A
BOREAS NSA Fen Pond,Canada,55.91481,-98.42072,fn_cansafen,N/A,N/A
BOREAS NSA Old Jack Pine,Canada,55.92842,-98.62396,fn_cansaojp,N/A,N/A
BOREAS NSA Young Jack Pine,Canada,55.89575,-98.28706,fn_cansayjp,N/A,N/A
BOREAS SSA Young Aspen,Canada,53.65601,-105.32314,fn_cassayap,N/A,N/A
Charlie Lake 3,Canada,45.8806,-67.3792,fn_cacharl3,N/A,N/A
Indian Head,Canada,50.5644,-103.674683,fn_caindian,N/A,N/A
Newell County Rangeland- Alberta,Canada,50.3,-111.64,fn_canewell,N/A,N/A
Ngotto Forest,Central African Republic,3.87,17.3,fn_cfngotto,N/A,N/A
RAC,Central African Republic,9.44,26.01,fn_cfrac,N/A,N/A
Dunhuang,China,40.2,94.43,fn_cndunhua,N/A,N/A
Suchow,China,31.4095,120.7268,fn_cnsuchow,N/A,N/A
Crawford_Point 1,Denmark,69.8819,-46.97358,fn_dkcrawf1,N/A,N/A
Crawford_Point 2,Denmark,69.91333,-46.85472,fn_dkcraw2,N/A,N/A
DYE-2,Denmark,66.48096,-46.27995,fn_dkdye2,N/A,N/A
Novaggio,Switzerland,46.02391,8.83542,fn_chnovagg,N/A,N/A
Othmarsingen,Switzerland,47.40089,8.42785,fn_chothmar,N/A,N/A
Payerne,Switzerland,46.8123,6.9421,fn_chpayern,N/A,N/A
Schanis,Switzerland,47.16634,9.06819,fn_chschani,N/A,N/A
Vordemwald,Switzerland,47.27542,7.88779,fn_chvordem,N/A,N/A
Alice Holt,UK,51.15315,-0.85744,fn_ukaliceh,N/A,N/A
Barton Bendish- East Anglia,UK,52.61403,0.52444,fn_ukbarben,N/A,N/A
Moor House/Upper Teesdale,UK,54.68674,-2.41112,fn_ukmoorho,N/A,N/A
Wytham,UK,51.77278,-1.326,fn_ukwytham,N/A,N/A
Bonanza Creek LTER: DF87- Alaska,USA,63.9192,-145.3722,fn_usbona87,N/A,N/A
Bonanza Creek LTER: DF94- Alaska,USA,63.8117,-145.0964,fn_usbona94,N/A,N/A
Bonanza Creek LTER: DFTB- Alaska,USA,63.922,-145.7428,fn_usbonatb,N/A,N/A
Maricopa Agricultural Center- Arizona,USA,33.07,-111.97,fn_usmarico,N/A,N/A
Mammoth Mountain- California,USA,37.6167,-119.0333,fn_usmammtn,N/A,N/A
Boulder SURFRAD Station- Colorado,USA,40.12557,-105.23775,fn_usbouldr,N/A,N/A
Saddle Site- Niwot Ridge LTER- Colorado,USA,40.0543,-105.589,fn_ussaddle,N/A,N/A
Soddie Site- Niwot Ridge LTER- Colorado,USA,40.0477,-105.5712,fn_ussoddie,N/A,N/A
Training Compartment D at Fort Benning- Georgia,USA,32.39545,-84.7289,fn_usftbenn,N/A,N/A
Pleasant Plains- Illinois,USA,39.5,-89.8833,fn_uspplain,N/A,N/A
Beltsville Agricultural Research Center- Maryland,USA,39.03218,-76.84475,fn_usbeltsv,N/A,N/A
Coweeta LTER- North Carolina,USA,35.05058,-83.45006,fn_uscoweet,N/A,N/A
Jornada LTER- New Mexico (JRN1),USA,32.59071,-106.8446,fn_usjornad,N/A,N/A
Walnut Gulch Watershed- Arizona,USA,31.74,-109.85,fn_usazkend,N/A,N/A
Sevilleta BigFoot- New Mexico,USA,34.36213,-106.70086,fn_usbsevib,N/A,N/A
Sevilleta Nat Refuge-Mackenzie Flats - New Mexico (SEV1),USA,34.35869,-106.66937,fn_ussevimf,N/A,N/A
White Sands- New Mexico,USA,32.8972,-106.4261,fn_uswsands,N/A,N/A
Ivanpah Playa Nevada/California,USA,35.5503,-115.3875,fn_usivanpa,N/A,N/A
Lake Tahoe- Nevada,USA,39.18063,-120.11928,fn_ustaho,N/A,N/A
Railroad Valley Playa 2,USA,38.4969,-115.698,fn_usrailro,N/A,N/A
Cascades/H.J. Andrews LTER- Oregon,USA,44.24885,-122.18035,fn_usandrew,N/A,N/A
Allegheny National Forest-  Pennsylvania,USA,41.8667,-78.9167,fn_usallegh,N/A,N/A
ARS-NE PLRC- Pennsylvania,USA,40.6167,-76.6667,fn_usplrcpa,N/A,N/A
Penn State SURFRAD Station- Pennsylvania,USA,40.72033,-77.931,fn_uspennst,N/A,N/A
UW-Milwaukee Field Station- Wisconsin,USA,43.38729,-88.02339,fn_usmilwau,N/A,N/A
Howard Springs,Australia,-12.49428,131.15231,fn_auhoward,AU-How,au.howardsprings.01
Janina,Australia,-30.07667,144.13639,fn_aujanina,AU-Jan,au.janina.01
Mackay,Australia,-21.23806,149.10694,fn_aumackay,N/A,N/A
Tinga Tingana,Australia,-29,139.83,fn_autinga,N/A,N/A
Mongu,Zambia,-15.43885,23.25258,fn_af00mong,ZM-Mon,zm.mongu.01
Chukotka,Russia,65.59483,171.0525,fn_ruchukot,RU-Chu,ru.chukotka.01
Krasnoyarsk,Russia,57.27,91.6,fn_rukrasn1,N/A,N/A
Ubs Nur- Hakasija-grassland,Russia,54.72528,90.00222,fn_ruhak1,RU-Ha1,ru.ubsu_nur_hak1.01
Ubs Nur- Hakasija-recovering grassland,Russia,54.77306,89.95667,fn_ruhak2,RU-Ha2,ru.ubsu_nur_hak2.01
Yakutsk-Larch,Russia,62.255,129.61889,fn_ruyaklar,RU-Yak,ru.yakutsk_larch.01
Yakutsk-Pine,Russia,62.24139,129.65056,fn_ruyakpin,RU-Ya2,ru.yakutsk_pine.01
Sardinilla Pasture,Panama,9.30775,-79.63031,fn_pasarpas,PA-Sa1,pa.sardinilla_pasture.01
El Saler,Spain,39.34597,-0.31881,fn_eselsale,ES-ES1,es.elsaler.01
Hegyhatsal,Hungary,46.95583,16.65222,fn_huhegyha,HU-He1,hu.hegyhatsal.01
Yatir,Israel,31.347,35.052,fn_ilyeatir,IL-Yat,il.yatir.01
Zerbolo-Parco Ticino- Canarazzo,Italy,45.20087,9.06104,fn_itcanara,IT-PT1,it.canarazzo.01
Island of Pianosa,Italy,42.58387,10.0784,fn_itpianos,IT-Pia,it.pianosa.01
Gwangneung Coniferous Forest,Korea,37.74861,127.16252,fn_krkwangc,KR-Kw1,kr.kwangnung_coniferous.01
Harwood,UK,55.21642,-2.02431,fn_ukharwoo,UK-Har,uk.harwood.01
Walnut Gulch Lucky Hills Shrub- Arizona,USA,31.74383,-110.05222,fn_usazluck,US-WGL,us.az_luckyhills_shrub.01
Cub Hill (Baltimore)- Maryland,USA,39.41251,-76.5208,fn_usbaltim,US-Cub,us.md_baltimore.01
Cedar Bridge- New Jersey,USA,39.83794,-74.3791,fn_uscedarb,US-Ced,us.nj_cedarbridge.01
Morgan Monroe State Forest- Indiana,USA,39.32315,-86.41314,fn_usinmorg,US-MMS,us.morganmonroe.01
ARM Southern Great Plains site- Lamont- Oklahoma,USA,36.605,-97.4884,fn_uslamont,US-ARM,us.lamont.01
Mead - irrigated continuous maize site- Nebraska,USA,41.16506,-96.47664,fn_usmeadig,US-Ne1,us.mead_maize.01
Mead - irrigated maize-soybean rotation site- Nebraska,USA,41.16487,-96.4701,fn_usmeadir,US-Ne2,us.mead_maize_soybean_irrigated.01
Berchtesgaden,Germany,47.61667,12.58333,fn_deberch0,DE-Ber,de.berch.01
Demmin,Germany,53.92,13.25,fn_dedemmin,N/A,N/A
Gilching (VALERI),Germany,48.08186,11.32049,fn_degilchi,N/A,N/A
Hamburg,Germany,53.56833,9.97333,fn_dehambur,N/A,N/A
Kannenbruch Forest,Germany,53.78333,10.6,fn_dekannen,DE-Kan,de.kannenbruch.01
Klingenberg,Germany,50.89288,13.52251,fn_deklinge,DE-Kli,de.klingenberg.01
IFT-Leipzig,Germany,51.3525,12.4355,fn_deleipzi,N/A,N/A
Lindenberg,Germany,52.2,14.11999,fn_delinden,N/A,N/A
Mehrstedt1,Germany,51.27531,10.65547,fn_demehrs1,DE-Meh,de.mehrstedt.01
Mehrstedt2,Germany,51.28497,10.64886,fn_demehrs2,DE-Meh,de.mehrstedt.02
Oberbarenburg,Germany,50.78667,13.72222,fn_deoberba,DE-Obe,de.oberbarenburg.01
Schonau,Germany,47.6,12.96667,fn_deschona,DE-Sch,de.schonau.01
Solling FL,Germany,51.76667,9.58333,fn_desollin,DE-Sol,de.solling.01
Foulum,Denmark,56.48422,9.58722,fn_dkfoulum,DK-Fou,dk.foulum.01
Lille Valby (Rimi),Denmark,55.68333,12.08333,fn_dklillev,DK-Lva,dk.lille_valby.01
Risbyholm 2,Denmark,55.53333,12.08833,fn_dkrisby2,DK-Ri2,dk.risbyholm.02
Risbyholm,Denmark,55.53028,12.09722,fn_dkrisbyh,DK-Ris,dk.risbyholm.01
Ulborg,Denmark,56.28333,8.43333,fn_dkulborg,DK-Ulb,dk.ulborg.01
ETH/CU_Swiss Camp,Denmark,69.57317,-49.29517,fn_dkswissc,N/A,N/A
JAR1,Denmark,69.49835,-49.68156,fn_dkjar1,N/A,N/A
JAR2,Denmark,69.42,-50.0575,fn_dkjar2,N/A,N/A
Saddle,Denmark,66.00055,-44.50139,fn_dksaddle,N/A,N/A
SM2,Denmark,69.47836,-49.87796,fn_dksm2,N/A,N/A
South Dome,Denmark,63.14889,-44.81667,fn_dksdome,N/A,N/A
Summit BSRN,Denmark,72.57944,-38.50417,fn_dksummit,N/A,N/A
Nile Delta,Egypt,31.1,31.03,fn_egnilede,N/A,N/A
Lahemaa EMEP station,Estonia,59.51472,25.92833,fn_eelahema,N/A,N/A
Saareja'rve IM site,Estonia,58.65722,26.75889,fn_eesaarej,N/A,N/A
Toravere BSRN Station,Estonia,58.25378,26.46161,fn_eetorave,N/A,N/A
Vilsandi IM site,Estonia,58.38417,21.85028,fn_eevilsan,N/A,N/A
Orgavany,Hungary,46.80038,19.46707,fn_huorgava,N/A,N/A
Novara,Italy,44.7938,8.42,fn_itnovara,N/A,N/A
Po Valley,Italy,44.7872,8.12,fn_itpovall,N/A,N/A
Tateno,Japan,36.0587,140.126,fn_jptateno,N/A,N/A
Mt. Hallasan Park,Korea,33.36667,126.53754,fn_krhallas,N/A,N/A
Mt. Jumbongsan Reserve,Korea,38.03378,128.46685,fn_krjumbon,N/A,N/A
Libya3,Libya,23.15,23.1,fn_lylibya3,N/A,N/A
Mandalgovi,Mongolia,45.99499,106.32702,fn_manmong,N/A,N/A
Hapex-Sahel,Niger,13.5,2.5,fn_nehapexs,N/A,N/A
Nigeria,Nigeria,11.53,11.14,fn_ngnigeri,N/A,N/A
Arabia1,Saudi Arabia,18.88,46.76,fn_saarabia,N/A,N/A
Dahra North,Senegal,15.4119,-15.4335,fn_sndahran,N/A,N/A
Dahra South,Senegal,15.37127,-15.40082,fn_sndahras,N/A,N/A
Tessekre North,Senegal,15.89602,-15.06087,fn_sntessen,N/A,N/A
Tessekre South,Senegal,15.81917,-15.06087,fn_sntesses,N/A,N/A
Alptal,Switzerland,47.04995,8.71369,fn_chalptal,N/A,N/A
Beatenberg,Switzerland,46.7164,7.76334,fn_chbeaten,N/A,N/A
Bettlachstock,Switzerland,47.22652,7.4176,fn_chbettla,N/A,N/A
Celerina,Switzerland,46.49358,9.88985,fn_chcelery,N/A,N/A
Lausanne,Switzerland,46.58506,6.65887,fn_chlausan,N/A,N/A
Nationalpark,Switzerland,46.66392,10.23098,fn_chntlprk,N/A,N/A
Neunkirch,Switzerland,47.68506,8.53688,fn_chneunki,N/A,N/A
Tumbarumba,Australia,-35.65572,148.15208,fn_autumbar,AU-Tum,au.tumbarumba.01
Uardry/NSW,Australia,-34.38789,145.30276,fn_as00uard,N/A,N/A
Virginia Park,Australia,-19.88333,146.55389,fn_auvrgprk,AU-Vir,au.virginiapark.01
Maun- Mopane Woodland,Botswana,-19.91546,23.56047,fn_bwmaun1,BW-Ma1,bw.maun.01
Skukuza- Kruger National Park,South Africa,-25.01972,31.49688,fn_sa00skuk,ZA-Kru,za.kruger_skukuza.01
Howland Forest (harvest site)- Maine,USA,45.20722,-68.725,fn_usmehowl,US-Ho3,us.howland.03
Metolius-intermediate aged ponderosa pine- Oregon,USA,44.45243,-121.55717,fn_usmetipp,US-Me2,us.metolius_int.01
Duke Forest - loblolly pine- North Carolina,USA,35.97817,-79.0942,fn_usncduke,US-Dk3,us.duke_loblolly.01
North Temperate Lakes - Trout Lake Station (NTL1),USA,46.01374,-89.67969,fn_usntlake,N/A,N/A
Smithsonian Research Center (SERC)- Maryland,USA,38.88998,-76.55988,fn_ussercmd,US-SRC,us.serc.01
Sardinilla Plantation,Panama,9.31673,-79.63486,fn_pasarplt,PA-Sa2,pa.sardinilla_plantation.01
Missouri Ozark Site,USA,38.74411,-92.20001,fn_usmozark,US-MOz,us.moozark.01
Guzelyayla,Turkey,40.2057,41.4537,fn_trguzely,N/A,N/A
Ovacik,Turkey,40.2473,41.001,fn_trovacik,N/A,N/A
Falls Creek,Australia,-36.86687,147.34577,fn_aumchugh,AU-Fac,au.falls_creek.01
COMPLET 119  (-13.5645 S 17.375 E),Angola,-13.5645,17.375,fn_aocomple,N/A,N/A
McMurdo Dry Valleys LTER (MCM1),Antarctica,-77.625,162.88278,fn_aqmcmurd,N/A,N/A
Palmer Station - Anvers Island (PAL1),Antarctica,-64.7,-64,fn_aqpalmer,N/A,N/A
CEILAP-BA,Argentina,-34.56667,-58.5,fn_arceilap,N/A,N/A
COMPLET 102  (-49.4919 S  -71.8992 W),Argentina,-49.4919,-71.8992,fn_arcom102,N/A,N/A
COMPLET 105  (-34.25 S -67.9073 W),Argentina,-34.25,-67.9073,fn_arcom105,N/A,N/A
Cordoba-CETT,Argentina,-31.52408,-64.46368,fn_arcordob,N/A,N/A
La Ciguena – Santa Fe,Argentina,-29.264,-61.028,fn_arlacigu,AR-Lac,ar.laciguena.01
Laprida (VALERI),Argentina,-36.99037,-60.55259,fn_arlaprid,N/A,N/A
